Annotation Symbol,Brain_female,Brain_male,Carcass_female,Carcass_male,Eye_female,Eye_male,MTube_fem,MTube_male,SGland_female,SGland_male
CG30129,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.1,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
CG6949,9.7 ± 0.7,9.6 ± 0.3,21 ± 2.7,18 ± 3.0,15 ± 0.1,12 ± 0.8,18 ± 3.5,17 ± 3.0,11 ± 2.2,19 ± 0.5
CG42250,12 ± 0.8,14 ± 0.6,14 ± 0.8,12 ± 0.6,17 ± 0.9,17 ± 0.5,25 ± 0.8,23 ± 3.6,33 ± 0.3,39 ± 2.2
CG31361,12 ± 2.2,14 ± 0.7,0.3 ± 0.2,2.0 ± 1.1,1.0 ± 0.0,1.2 ± 0.3,0.0 ± 0.0,1.1 ± 1.6,0.1 ± 0.0,0.5 ± 0.1
CG10788,0.2 ± 0.1,0.1 ± 0.0,0.1 ± 0.1,0.1 ± 0.1,0.2 ± 0.0,0.2 ± 0.2,0.4 ± 0.2,0.3 ± 0.3,0.1 ± 0.0,0.0 ± 0.1
CG1288,0.1 ± 0.0,0.1 ± 0.0,0.0 ± 0.0,6.2 ± 4.3,0.0 ± 0.0,0.2 ± 0.0,0.2 ± 0.3,4.2 ± 6.4,0.1 ± 0.2,2.0 ± 1.3
CG17075,8.8 ± 1.6,9.8 ± 0.2,0.5 ± 0.4,0.6 ± 0.3,1.2 ± 0.1,1.4 ± 0.0,0.3 ± 0.2,0.2 ± 0.1,0.5 ± 0.1,0.8 ± 0.2
CG11696,3.2 ± 0.1,3.1 ± 0.2,2.8 ± 0.3,1.8 ± 0.2,3.0 ± 0.3,3.0 ± 0.2,2.4 ± 0.7,2.5 ± 0.6,3.5 ± 0.9,3.2 ± 0.2
CG8127,21 ± 3.7,22 ± 0.5,17 ± 1.7,15 ± 2.4,14 ± 0.2,15 ± 1.7,17 ± 3.2,18 ± 2.8,11 ± 0.2,14 ± 0.8
CG13385,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.9 ± 0.6,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.6 ± 1.0,0.0 ± 0.0,0.2 ± 0.1
CG16903,7.9 ± 0.5,6.7 ± 0.5,8.8 ± 1.3,7.0 ± 0.9,8.8 ± 0.8,7.9 ± 0.1,8.4 ± 1.4,7.2 ± 1.4,8.6 ± 1.8,9.4 ± 1.2
CG30401,0.3 ± 0.2,0.3 ± 0.0,0.0 ± 0.0,0.1 ± 0.2,0.0 ± 0.0,0.1 ± 0.0,0.1 ± 0.1,0.2 ± 0.2,0.0 ± 0.0,0.0 ± 0.1
CG5376,0.3 ± 0.1,0.3 ± 0.1,4.7 ± 1.0,5.6 ± 1.0,0.6 ± 0.1,0.5 ± 0.1,0.1 ± 0.1,0.2 ± 0.1,0.4 ± 0.1,1.0 ± 0.2
CG2218,8.6 ± 0.4,8.7 ± 0.8,10.0 ± 0.7,7.1 ± 0.3,9.8 ± 0.4,7.9 ± 0.6,8.1 ± 1.2,6.9 ± 1.2,9.3 ± 4.2,8.4 ± 0.0
CG12986,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.1,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.1
CG6168,0.0 ± 0.0,0.0 ± 0.1,0.0 ± 0.0,3.5 ± 0.7,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.5 ± 0.8,0.0 ± 0.0,0.2 ± 0.0
CG9125,4.1 ± 0.2,5.6 ± 0.4,2.0 ± 0.3,3.2 ± 0.3,3.6 ± 0.1,6.2 ± 0.2,1.4 ± 0.3,1.3 ± 0.5,2.2 ± 0.7,2.6 ± 0.1
CG34388,8.7 ± 0.9,10 ± 1.4,0.2 ± 0.0,0.2 ± 0.2,0.7 ± 0.0,0.5 ± 0.1,0.5 ± 0.7,0.4 ± 0.4,0.1 ± 0.0,0.3 ± 0.2
CG8674,11 ± 0.9,12 ± 0.1,11 ± 1.3,12 ± 2.0,14 ± 2.2,12 ± 0.0,14 ± 1.4,12 ± 3.0,12 ± 1.0,15 ± 0.2
CG13731,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
CG13222,0.2 ± 0.1,0.1 ± 0.0,1.5 ± 0.5,0.8 ± 0.3,1.8 ± 0.5,1.3 ± 0.1,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.1,0.3 ± 0.1
CG8400,11 ± 1.1,12 ± 0.8,14 ± 1.1,13 ± 0.5,11 ± 0.3,12 ± 0.3,18 ± 2.0,16 ± 1.4,11 ± 2.6,12 ± 0.6
CG11043,1.5 ± 0.1,1.3 ± 0.2,1.7 ± 0.5,4.9 ± 2.4,0.8 ± 0.1,1.3 ± 0.5,0.9 ± 0.6,3.6 ± 3.8,36 ± 10,68 ± 6.5
CG34145,1.6 ± 0.2,1.5 ± 0.1,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
CG8902,0.3 ± 0.1,0.4 ± 0.1,1.2 ± 0.8,0.6 ± 0.2,0.4 ± 0.2,0.4 ± 0.1,0.6 ± 0.3,0.5 ± 0.2,2.7 ± 2.1,0.5 ± 0.2
CG1142,8.3 ± 0.5,8.5 ± 0.2,7.8 ± 0.8,5.8 ± 0.8,6.2 ± 0.2,5.2 ± 0.2,6.5 ± 0.9,5.4 ± 1.0,7.1 ± 1.0,6.6 ± 1.0
CG30373,17 ± 1.2,16 ± 1.3,34 ± 8.6,39 ± 6.3,25 ± 1.6,23 ± 0.8,17 ± 3.2,15 ± 4.3,10 ± 0.5,18 ± 0.1
CG5971,0.1 ± 0.0,0.1 ± 0.1,1.9 ± 0.9,0.9 ± 0.5,0.4 ± 0.0,0.2 ± 0.1,0.4 ± 0.4,0.1 ± 0.0,3.3 ± 2.5,0.8 ± 0.2
CG3642,2.5 ± 0.4,2.3 ± 0.1,2.6 ± 0.6,1.8 ± 0.2,2.5 ± 0.0,2.1 ± 0.2,2.1 ± 0.0,1.4 ± 0.4,4.0 ± 2.3,2.8 ± 0.9
CG7211,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,2.8 ± 2.4,0.1 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,4.0 ± 6.6,0.0 ± 0.0,0.3 ± 0.2
CG11670,0.0 ± 0.0,0.0 ± 0.0,0.5 ± 0.1,0.5 ± 0.1,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.1,0.1 ± 0.1,0.1 ± 0.0,0.1 ± 0.0
CG32264,54 ± 13,58 ± 5.0,13 ± 2.1,14 ± 1.3,20 ± 0.9,27 ± 3.5,14 ± 1.7,13 ± 1.5,10 ± 0.1,15 ± 1.4
CG17078,8.3 ± 0.9,9.4 ± 0.5,4.2 ± 1.3,3.1 ± 0.1,4.8 ± 0.0,5.3 ± 0.1,3.6 ± 1.2,3.6 ± 0.6,6.4 ± 3.3,4.2 ± 0.0
CG8346,1.4 ± 0.1,1.0 ± 0.1,1.2 ± 0.6,0.6 ± 0.1,1.7 ± 0.4,1.3 ± 0.3,0.2 ± 0.1,0.4 ± 0.4,0.3 ± 0.0,0.2 ± 0.2
CG15756,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
CG6280,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.2 ± 0.0,0.2 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
CG3773,3.0 ± 0.6,2.7 ± 0.4,4.3 ± 0.3,4.0 ± 0.1,3.9 ± 0.1,3.7 ± 0.4,3.2 ± 0.8,3.2 ± 0.6,5.2 ± 2.2,4.1 ± 0.3
CG1322,1.4 ± 0.4,1.3 ± 0.4,1.6 ± 0.2,1.2 ± 0.2,1.5 ± 0.1,1.0 ± 0.1,0.1 ± 0.1,0.2 ± 0.1,1.6 ± 0.9,1.6 ± 0.4
CG43677,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
CG13614,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.1,0.0 ± 0.0,0.0 ± 0.0
CG3454,0.7 ± 0.1,0.8 ± 0.1,0.2 ± 0.0,0.4 ± 0.1,26 ± 2.5,36 ± 10,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.0,0.3 ± 0.0
CG31716,35 ± 4.5,38 ± 1.7,23 ± 0.9,25 ± 2.6,23 ± 1.1,N.A.,18 ± 1.7,17 ± 2.0,N.A.,27 ± 0.9
CG1662,8.1 ± 0.3,8.2 ± 0.3,22 ± 2.3,22 ± 4.3,13 ± 0.5,11 ± 1.2,35 ± 4.2,22 ± 2.9,14 ± 0.5,19 ± 1.0
CG14315,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.1,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.2,0.0 ± 0.0,0.1 ± 0.0
CG9196,0.1 ± 0.1,0.2 ± 0.2,0.3 ± 0.4,0.1 ± 0.0,0.1 ± 0.1,0.2 ± 0.1,0.2 ± 0.1,0.1 ± 0.1,0.0 ± 0.0,0.0 ± 0.0
CG14105,0.3 ± 0.1,0.3 ± 0.1,16 ± 2.9,20 ± 4.7,6.3 ± 0.5,7.4 ± 2.9,0.0 ± 0.0,0.1 ± 0.1,0.3 ± 0.0,1.9 ± 0.3
CG5948,0.2 ± 0.1,0.3 ± 0.2,0.2 ± 0.2,0.3 ± 0.1,0.8 ± 0.3,1.5 ± 0.0,0.3 ± 0.1,0.4 ± 0.4,0.0 ± 0.1,0.1 ± 0.0
CG6067,3.0 ± 2.0,1.3 ± 0.9,91 ± 20,103 ± 9.6,67 ± 5.3,54 ± 22,1.5 ± 0.3,1.8 ± 0.8,3.9 ± 0.0,10 ± 1.2
CG33833,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
CG42508,0.3 ± 0.1,0.4 ± 0.1,0.0 ± 0.0,0.1 ± 0.1,25 ± 1.5,30 ± 4.3,0.0 ± 0.0,0.0 ± 0.1,0.1 ± 0.0,0.7 ± 0.9
CG42575,94 ± 6.9,106 ± 4.4,8.6 ± 2.3,7.5 ± 1.8,46 ± 3.0,65 ± 6.3,1.0 ± 0.9,0.6 ± 0.1,12 ± 5.9,5.4 ± 0.3
CG3569,0.6 ± 0.2,0.6 ± 0.1,0.0 ± 0.0,0.2 ± 0.1,0.8 ± 0.0,1.0 ± 0.4,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
CG40498,85 ± 11,94 ± 4.2,3.0 ± 1.3,5.0 ± 2.0,13 ± 1.0,18 ± 1.1,0.0 ± 0.0,0.1 ± 0.1,1.0 ± 0.2,1.4 ± 0.4
CG42713,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
CG10612,1.3 ± 0.1,1.4 ± 0.2,0.1 ± 0.1,0.1 ± 0.0,0.1 ± 0.1,0.2 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.1,0.1 ± 0.0
CG42524,4.0 ± 0.4,4.1 ± 0.3,4.3 ± 0.8,2.9 ± 0.6,4.7 ± 0.5,4.2 ± 0.3,5.0 ± 1.2,4.8 ± 1.2,1.0 ± 0.1,2.4 ± 0.1
CG42638,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
CG2177,38 ± 4.7,39 ± 2.9,26 ± 2.6,32 ± 2.0,28 ± 0.2,32 ± 1.4,40 ± 4.6,37 ± 8.6,48 ± 15,48 ± 0.6
CG3810,5.0 ± 0.4,5.6 ± 0.2,7.5 ± 0.7,7.4 ± 1.6,21 ± 0.8,21 ± 3.3,6.0 ± 1.8,6.5 ± 0.6,13 ± 0.8,13 ± 0.5
CG9330,13 ± 0.7,14 ± 0.2,18 ± 0.7,16 ± 0.5,20 ± 0.5,20 ± 0.2,18 ± 4.4,18 ± 3.0,17 ± 1.8,21 ± 1.3
CG12023,0.3 ± 0.1,0.2 ± 0.1,11 ± 2.9,13 ± 1.8,39 ± 2.8,35 ± 2.4,0.2 ± 0.3,0.2 ± 0.1,1.1 ± 0.3,4.0 ± 0.1
CG18540,0.9 ± 0.4,0.8 ± 0.3,6.1 ± 1.5,8.8 ± 1.9,0.7 ± 0.4,0.4 ± 0.1,0.4 ± 0.5,0.3 ± 0.4,0.8 ± 0.2,1.6 ± 0.4
CG13389,195 ± 28,162 ± 3.7,896 ± 138,495 ± 47,742 ± 11,405 ± 18,1094 ± 379,840 ± 218,479 ± 26,583 ± 80
CG18549,27 ± 1.4,30 ± 1.3,19 ± 2.9,18 ± 1.0,29 ± 0.2,32 ± 0.7,41 ± 1.7,50 ± 5.2,15 ± 0.9,25 ± 1.9
CG31848,0.0 ± 0.0,0.0 ± 0.0,0.5 ± 0.1,1.0 ± 0.6,0.0 ± 0.0,0.1 ± 0.1,0.3 ± 0.2,0.7 ± 0.3,0.2 ± 0.1,0.1 ± 0.0
CG33775,0.5 ± 0.3,0.6 ± 0.3,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.2,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
CG14802,4.4 ± 0.4,4.3 ± 0.2,5.6 ± 0.3,5.3 ± 0.2,5.7 ± 0.3,6.4 ± 0.1,4.2 ± 0.6,2.6 ± 0.5,5.1 ± 1.2,4.3 ± 0.4
CG15450,1.2 ± 0.5,1.4 ± 0.3,0.1 ± 0.0,0.6 ± 0.4,0.8 ± 0.2,1.4 ± 0.8,0.0 ± 0.0,0.4 ± 0.7,0.0 ± 0.0,0.2 ± 0.1
CG6167,13 ± 1.3,14 ± 0.9,0.7 ± 0.2,1.6 ± 0.3,7.0 ± 1.0,9.3 ± 1.4,0.2 ± 0.1,0.3 ± 0.2,0.2 ± 0.0,0.6 ± 0.0
CG10117,10 ± 1.9,11 ± 0.7,5.0 ± 0.3,3.9 ± 0.4,5.0 ± 0.1,5.8 ± 0.4,4.2 ± 0.6,4.5 ± 0.1,3.4 ± 1.1,3.5 ± 0.3
CG2969,15 ± 1.6,16 ± 0.5,11 ± 1.5,7.6 ± 1.1,22 ± 1.2,29 ± 3.7,3.5 ± 0.7,2.8 ± 0.9,5.6 ± 0.1,9.5 ± 0.6
CG13067,1.9 ± 1.1,2.0 ± 0.7,13 ± 1.6,11 ± 2.8,1.7 ± 0.7,1.3 ± 0.6,11 ± 6.0,4.4 ± 1.4,1.3 ± 0.2,1.7 ± 0.2
CG5771,46 ± 0.9,46 ± 1.0,55 ± 9.3,51 ± 5.0,55 ± 1.4,54 ± 2.4,63 ± 15,52 ± 9.5,78 ± 4.1,87 ± 5.4
CG9396,2.9 ± 1.7,1.8 ± 0.7,59 ± 20,98 ± 29,42 ± 6.3,38 ± 18,337 ± 45,439 ± 76,26 ± 7.8,60 ± 11
CG11913,0.3 ± 0.1,0.2 ± 0.0,0.1 ± 0.0,1.0 ± 0.5,0.2 ± 0.1,0.4 ± 0.2,0.5 ± 0.5,1.4 ± 1.6,0.2 ± 0.0,0.4 ± 0.1
CG7818,3.9 ± 0.4,3.7 ± 0.2,3.9 ± 0.1,3.6 ± 0.5,4.0 ± 0.1,4.2 ± 0.8,3.7 ± 0.8,4.4 ± 0.5,5.8 ± 1.5,5.5 ± 1.1
CG11808,2.9 ± 0.2,2.8 ± 0.2,2.5 ± 0.5,2.6 ± 0.2,2.4 ± 0.6,2.4 ± 0.4,2.4 ± 0.6,2.6 ± 0.6,2.9 ± 1.2,2.4 ± 0.1
CG12324,15 ± 1.6,12 ± 1.2,40 ± 4.1,46 ± 6.4,41 ± 0.2,30 ± 1.7,31 ± 0.7,22 ± 4.5,29 ± 0.1,38 ± 1.7
CG14374,0.0 ± 0.1,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.1,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
CG32693,0.3 ± 0.0,0.4 ± 0.2,0.1 ± 0.1,0.1 ± 0.0,0.1 ± 0.1,0.1 ± 0.1,0.0 ± 0.1,0.0 ± 0.0,0.1 ± 0.1,0.1 ± 0.1
CG6383,1.6 ± 0.3,1.7 ± 0.1,5.4 ± 0.7,4.0 ± 0.7,22 ± 2.3,36 ± 11,4.4 ± 2.1,2.8 ± 0.8,13 ± 0.4,13 ± 0.2
CG42587,0.1 ± 0.1,0.1 ± 0.1,0.6 ± 0.6,0.0 ± 0.0,0.0 ± 0.0,0.2 ± 0.3,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
CG2943,21 ± 1.8,22 ± 0.9,41 ± 4.6,49 ± 12,32 ± 1.9,34 ± 0.9,26 ± 3.9,22 ± 3.7,27 ± 1.4,27 ± 1.4
CG13061,2.5 ± 1.8,3.0 ± 4.3,104 ± 129,89 ± 25,1031 ± 38,1907 ± 341,0.7 ± 0.9,0.4 ± 0.2,8.2 ± 1.2,25 ± 4.8
CG9097,2.0 ± 0.4,2.4 ± 0.1,0.2 ± 0.1,0.2 ± 0.0,0.5 ± 0.1,0.6 ± 0.1,0.4 ± 0.0,0.3 ± 0.1,0.3 ± 0.0,0.4 ± 0.1
CG12725,0.0 ± 0.0,0.0 ± 0.0,0.5 ± 0.2,0.6 ± 0.2,0.1 ± 0.0,0.1 ± 0.0,0.7 ± 0.9,1.0 ± 0.9,0.0 ± 0.0,0.1 ± 0.0
CG11275,3.0 ± 0.7,2.2 ± 0.3,15 ± 4.1,14 ± 2.4,18 ± 0.2,14 ± 0.2,12 ± 1.4,18 ± 3.6,3.2 ± 0.1,9.8 ± 0.8
CG3869,29 ± 2.6,28 ± 0.4,75 ± 9.5,59 ± 1.6,42 ± 1.7,39 ± 1.4,64 ± 6.3,53 ± 8.2,30 ± 0.6,51 ± 1.1
CG2264,3.2 ± 0.7,2.9 ± 0.3,14 ± 1.9,13 ± 0.7,6.7 ± 0.1,6.2 ± 1.0,6.7 ± 0.2,5.1 ± 0.7,4.5 ± 1.1,5.2 ± 0.2
CG44215,0.0 ± 0.1,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
CG1108,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.0,1.0 ± 0.6,0.0 ± 0.0,0.1 ± 0.0,12 ± 1.4,25 ± 2.8,0.0 ± 0.0,0.2 ± 0.1
CG1907,11 ± 0.9,11 ± 0.5,33 ± 5.0,39 ± 4.4,26 ± 0.2,25 ± 4.2,31 ± 6.9,33 ± 8.8,28 ± 3.5,43 ± 3.0
CG40733,0.9 ± 0.6,0.4 ± 0.2,0.4 ± 0.4,0.4 ± 0.4,0.1 ± 0.0,0.0 ± 0.0,0.2 ± 0.2,0.4 ± 0.7,0.3 ± 0.4,0.4 ± 0.1
CG43294,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.2,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.1,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
CG30382,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
CG11237,0.7 ± 0.1,0.8 ± 0.1,0.5 ± 0.2,0.4 ± 0.0,0.7 ± 0.0,0.8 ± 0.2,0.3 ± 0.1,0.4 ± 0.2,1.0 ± 0.4,0.8 ± 0.1
CG42266,0.3 ± 0.1,0.3 ± 0.1,0.1 ± 0.0,0.7 ± 0.3,0.0 ± 0.0,0.1 ± 0.0,0.1 ± 0.0,0.7 ± 0.8,0.1 ± 0.0,0.2 ± 0.2
CG9813,61 ± 7.3,66 ± 2.5,3.3 ± 1.0,4.3 ± 1.0,89 ± 10,121 ± 37,0.4 ± 0.2,0.2 ± 0.1,0.6 ± 0.2,1.9 ± 0.4
CG11856,8.1 ± 0.7,8.9 ± 0.3,15 ± 2.4,9.7 ± 1.8,12 ± 0.4,12 ± 1.3,11 ± 0.9,11 ± 1.4,17 ± 7.2,11 ± 0.8
CG6019,1.2 ± 0.1,1.5 ± 0.0,1.3 ± 0.4,1.1 ± 0.3,0.6 ± 0.0,0.8 ± 0.1,0.5 ± 0.2,0.7 ± 0.2,1.3 ± 0.9,0.6 ± 0.1
CG1629,1.4 ± 0.4,1.6 ± 0.5,5.5 ± 0.7,6.8 ± 0.6,18 ± 0.2,25 ± 0.2,3.9 ± 1.0,4.0 ± 1.3,0.5 ± 0.0,2.3 ± 0.3
CG14154,0.5 ± 0.1,0.5 ± 0.1,0.1 ± 0.1,1.0 ± 0.6,0.3 ± 0.0,0.3 ± 0.0,0.3 ± 0.3,1.0 ± 1.0,0.1 ± 0.2,0.4 ± 0.2
CG34351,27 ± 3.9,29 ± 2.0,1.4 ± 0.4,2.1 ± 0.6,3.5 ± 0.0,4.5 ± 0.5,0.1 ± 0.1,0.2 ± 0.1,12 ± 3.9,16 ± 0.4
CG10812,6.3 ± 4.6,4.4 ± 2.4,92 ± 35,201 ± 96,425 ± 49,618 ± 95,1.3 ± 1.9,0.7 ± 0.9,5.8 ± 2.4,48 ± 13
CG33869,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
CG4027,209 ± 11,226 ± 4.6,198 ± 50,170 ± 14,324 ± 5.3,402 ± 53,642 ± 123,626 ± 159,300 ± 34,413 ± 32
CG17603,6.4 ± 0.4,N.A.,5.0 ± 0.2,4.4 ± 0.8,4.7 ± 0.0,4.8 ± 0.7,5.2 ± 0.7,5.7 ± 1.1,5.0 ± 0.1,6.2 ± 0.3
CG9253,6.7 ± 0.2,6.7 ± 0.2,17 ± 1.4,6.7 ± 0.5,8.1 ± 0.1,4.5 ± 0.2,11 ± 0.7,6.9 ± 1.6,6.8 ± 0.7,5.6 ± 0.0
CG18372,5.9 ± 5.4,0.9 ± 0.2,33 ± 29,8.8 ± 9.9,71 ± 0.5,19 ± 13,2.7 ± 4.2,1.0 ± 0.7,1.0 ± 0.2,1.4 ± 0.9
CG31744,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
CG1232,9.0 ± 1.6,10 ± 0.2,0.8 ± 0.4,1.3 ± 0.6,3.8 ± 0.3,5.6 ± 0.6,0.0 ± 0.0,0.0 ± 0.1,0.2 ± 0.0,0.7 ± 0.1
CG1420,3.6 ± 0.2,3.8 ± 0.2,3.5 ± 0.8,2.9 ± 0.3,2.9 ± 0.1,2.8 ± 0.3,3.2 ± 1.0,3.2 ± 0.4,3.2 ± 0.6,3.8 ± 0.4
CG44248,6.7 ± 0.6,6.9 ± 0.3,21 ± 4.3,20 ± 3.2,28 ± 0.2,27 ± 1.8,93 ± 15,73 ± 5.8,18 ± 4.1,24 ± 1.0
CG2861,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.9 ± 1.0,0.1 ± 0.0,0.1 ± 0.0,0.0 ± 0.0,0.8 ± 1.2,0.0 ± 0.0,0.1 ± 0.2
CG44152,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.1,0.1 ± 0.0,0.1 ± 0.0,0.1 ± 0.0,0.2 ± 0.1,0.2 ± 0.1,0.1 ± 0.0,0.3 ± 0.0
CG2658,6.1 ± 0.2,6.8 ± 0.4,10 ± 1.5,9.4 ± 0.6,5.4 ± 0.0,5.6 ± 0.2,6.7 ± 1.0,7.7 ± 1.9,6.7 ± 0.5,9.2 ± 0.3
CG9151,2.1 ± 0.4,1.8 ± 0.1,0.1 ± 0.0,0.1 ± 0.0,0.2 ± 0.0,0.1 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
CG33757,0.7 ± 0.2,0.8 ± 0.2,0.1 ± 0.1,0.2 ± 0.1,0.5 ± 0.0,1.3 ± 0.1,0.4 ± 0.3,0.1 ± 0.2,0.4 ± 0.4,0.4 ± 0.1
CG32251,0.0 ± 0.0,0.1 ± 0.1,1.1 ± 0.9,0.2 ± 0.1,0.2 ± 0.1,0.2 ± 0.0,0.3 ± 0.3,0.1 ± 0.0,2.1 ± 1.7,0.3 ± 0.3
CG43759,3.7 ± 0.8,3.9 ± 0.1,1.5 ± 0.5,1.6 ± 0.4,1.1 ± 0.0,1.7 ± 0.4,0.2 ± 0.2,0.1 ± 0.1,2.4 ± 0.6,2.4 ± 0.1
CG11112,0.4 ± 0.1,0.5 ± 0.2,0.4 ± 0.2,3.1 ± 0.4,0.4 ± 0.0,0.6 ± 0.4,0.4 ± 0.1,0.6 ± 0.3,0.4 ± 0.1,0.9 ± 0.6
CG7297,0.0 ± 0.0,0.1 ± 0.0,0.5 ± 0.0,1.9 ± 0.1,0.7 ± 0.0,2.0 ± 0.4,0.8 ± 0.2,0.7 ± 0.4,0.5 ± 0.2,1.0 ± 0.0
CG30099,0.3 ± 0.1,0.3 ± 0.2,0.1 ± 0.1,1.0 ± 0.6,0.1 ± 0.0,0.2 ± 0.0,0.1 ± 0.1,0.1 ± 0.1,0.0 ± 0.0,0.2 ± 0.2
CG6106,0.0 ± 0.0,0.1 ± 0.0,1.0 ± 0.2,1.5 ± 0.2,0.1 ± 0.0,0.1 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.3 ± 0.2
CG7745,5.2 ± 0.4,5.6 ± 0.7,3.4 ± 1.0,2.7 ± 0.1,3.9 ± 0.0,4.0 ± 0.3,3.0 ± 0.8,2.7 ± 0.4,5.5 ± 1.8,3.9 ± 0.1
CG6142,0.6 ± 0.1,0.5 ± 0.0,0.5 ± 0.1,0.5 ± 0.1,0.4 ± 0.1,0.4 ± 0.0,0.2 ± 0.1,0.1 ± 0.0,0.2 ± 0.1,0.2 ± 0.2
CG31902,0.1 ± 0.0,0.1 ± 0.0,0.0 ± 0.0,1.0 ± 0.3,0.1 ± 0.0,0.0 ± 0.0,0.1 ± 0.1,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.1
